Name,ProductId,ModelCode,EngineCubicCapacity
ESCALADE SUV PREMIUM 6.2L 4X4 T/A GAS 2025,01tWK00000G1IiZYAV,6K10706-B,6.2L
ESCALADE SUV PREMIUM 6.2L 4X4 T/A GAS 2026,01tWK00000G1IiaYAF,6K10706-L,6.2L
ESCALADE ESV PREMIUM 6.2L 4X4 T/A GAS 2026,01tWK00000G1IibYAF,6K10906-A,6.2L
ESCALADE ESV PREMIUM 6.2L 4X4 T/A GAS 2025,01tWK00000G1IicYAF,6K10906-B,6.2L
LYRIQ LUXURY 4X4 T/A ELECTRICO 2025,01tWK00000G1IidYAF,6MC26-F,
LYRIQ V SERIES 4X4 ELECTRICO 2026,01tWK00000G1IieYAF,6MD26-V,
XT5 SPORT 3.6L 4X4 T/A GAS 2024,01tWK00000G1IifYAF,6NJ26-F,3.6L
XT4 SPORT 2.0L 4X2 T/A GAS 2024,01tWK00000G1IigYAF,6ZE26-F,2.0L
SILVERADO 5.3L 4X4 T/A GAS RST 2026,01tWK00000G1IihYAF,CK10543-B,5.3L
SILVERADO ZR2 D/C 6.2L 4X4 T/A GAS 2024,01tWK00000G1IiiYAF,CK10543-D.,6.2L
SILVERADO ZR2 D/C 6.2L 4X4 T/A GAS 2025,01tWK00000G1IijYAF,CK10543-D.,6.2L
SILVERADO ZR2 D/C 6.2L 4X4 T/A GAS 2026,01tWK00000G1IikYAF,CK10543-D.,6.2L
SILVERADO D/C 6.2L 4X4 T/A GAS HIGH COUNTRY 2025,01tWK00000G1IilYAF,CK10543-G,6.2L
SILVERADO D/C 6.2L 4X4 T/A GAS HIGH COUNTRY 2026,01tWK00000G1IimYAF,CK10543-G,6.2L
SILVERADO RST 3.0L 4X4 T/A DSL 2025,01tWK00000G1IinYAF,CK10543-P,3.0L
SILVERADO RST 3.0L 4X4 T/A DSL 2026,01tWK00000G1IioYAF,CK10543-P,3.0L
SILVERADO HC 3.0L 4X4 T/A DSL 2025,01tWK00000G1IipYAF,CK10543-Q,3.0L
SILVERADO HC 3.0L 4X4 T/A DSL 2026,01tWK00000G1IiqYAF,CK10543-Q,3.0L
TAHOE 5.3L 4X4 T/A GAS RST 2025,01tWK00000G1IirYAF,CK10706-B,5.3L
TAHOE 5.3L 4X4 T/A GAS RST 2026,01tWK00000G1IisYAF,CK10706-B,5.3L
TAHOE 6.2L 4X4 T/A GAS Z71 2026,01tWK00000G1IitYAF,CK10706-D,6.2L
